job_title,required_skills
Data Scientist,Python | Machine Learning | Statistics | SQL | Deep Learning | Data Visualization | Pandas | NumPy | Scikit-learn | Feature Engineering | R | Tableau | Jupyter Notebook | Data Cleaning | Matplotlib | Seaborn | XGBoost | Model Deployment | Hypothesis Testing | Big Data
Machine Learning Engineer,Python | Machine Learning | Deep Learning | PyTorch | TensorFlow | MLOps | Scikit-learn | Feature Engineering | Docker | Kubernetes | Cloud | Statistics | Data Pipelines | Model Evaluation | Git | Linux | REST API | NumPy | Pandas | Spark
AI Engineer,Python | LLMs | Deep Learning | PyTorch | Prompt Engineering | LangChain | Vector Databases | RAG | Fine Tuning | Transformers | Hugging Face | OpenAI API | MLOps | Docker | Cloud | Git | NLP | Machine Learning | FastAPI | Linux
Data Analyst,SQL | Excel | Power BI | Data Visualization | Statistics | Python | Tableau | Pandas | Data Cleaning | Google Analytics | Looker | Business Acumen | Communication | Pivot Tables | ETL | R | Power Query | DAX | Storytelling with Data | Google Sheets
Data Engineer,Python | SQL | Apache Spark | Apache Kafka | Apache Airflow | Data Pipelines | Cloud | Data Warehousing | dbt | Docker | Git | Linux | Snowflake | NoSQL | Hadoop | ETL | Pandas | Scala | Redshift | BigQuery
MLOps Engineer,Python | MLOps | Docker | Kubernetes | Cloud | CI/CD | Machine Learning | MLflow | Apache Airflow | Model Monitoring | Feature Stores | Git | Linux | Terraform | Bash | Prometheus | Grafana | DVC | Kubeflow | BentoML
Database Administrator,SQL | Database Design | PostgreSQL | Performance Tuning | Backup Recovery | Linux | MySQL | MongoDB | Replication | Indexing | Oracle | Redis | Stored Procedures | Bash | Python | Cloud | High Availability | Data Modeling | Security | Partitioning
Quantitative Analyst,Python | Statistics | Mathematics | Financial Modeling | Machine Learning | R | SQL | Time Series Analysis | Monte Carlo Simulation | Risk Management | Excel | Stochastic Calculus | Bloomberg Terminal | VBA | Derivatives | Pandas | NumPy | Probability Theory | Optimization | Portfolio Management
Business Intelligence Developer,SQL | Power BI | Data Modeling | Data Warehousing | Tableau | Excel | ETL | Python | DAX | Azure Synapse | SSRS | OLAP | Data Governance | MDX | Looker | SAP BI | QlikView | Google Data Studio | Data Quality | Reporting
NLP Engineer,Python | NLP | Deep Learning | Transformers | Hugging Face | PyTorch | Text Preprocessing | LLMs | Machine Learning | Statistics | NLTK | spaCy | BERT | GPT | Tokenization | Named Entity Recognition | Sentiment Analysis | Word Embeddings | TF-IDF | ONNX
Computer Vision Engineer,Python | Computer Vision | Deep Learning | PyTorch | OpenCV | CNNs | Image Processing | TensorFlow | YOLO | Mathematics | Object Detection | Image Segmentation | 3D Vision | Data Augmentation | Transfer Learning | TensorRT | CUDA | ROS | Point Cloud | GANs
